Section,Item,Definition
L1,DATA,Data platforms architecture processing analytics governance and streaming
L1,SOFTWARE,Software design architecture patterns and principles
L1,CLOUD,Cloud infrastructure networking services and resilience
L1,DEVOPS,Development operations deployment observability and reliability
L1,SECURITY,Security access encryption testing and compliance
L1,AI/ML,Artificial intelligence machine learning and generative AI
L1,PM,Project management product management and agile practices
L1,PROGRAMMING,Data structures algorithms and complexity analysis
L1,BUSINESS,Business finance contracts and performance metrics
L2,DATA|Platform,Azure Databricks Fabric Power BI technologies and services
L2,DATA|Architecture,Data structures schemas modeling (Star Schema Lakehouse)
L2,DATA|Quality,Validation integrity observability profiling lineage
L2,DATA|Processing,ETL ELT batch streaming orchestration transformations
L2,DATA|BI,Dimensional modeling OLAP reporting measures DAX
L2,DATA|Governance,Policies ownership classification compliance stewardship
L2,DATA|Streaming,Real-time events Kafka KQL Event Hubs dashboards
L2,SOFTWARE|Architecture,System design structures (Microservices Hexagonal SOA)
L2,SOFTWARE|Patterns,Design and integration patterns (Circuit Breaker Saga)
L2,SOFTWARE|Principles,SOLID clean code best practices guidelines
L2,CLOUD|Infrastructure,IaC containers compute storage Kubernetes Docker
L2,CLOUD|Networking,Protocols connectivity DNS load balancing VNet
L2,CLOUD|Services,Managed services serverless PaaS API Gateway CDN
L2,CLOUD|Resilience,HA DR scaling fault tolerance RPO RTO
L2,DEVOPS|Deployment,CI/CD release strategies pipelines Blue-Green Canary
L2,DEVOPS|Observability,Monitoring logging tracing alerting metrics
L2,DEVOPS|Reliability,SRE incident management MTTR MTBF runbooks
L2,DEVOPS|Automation,GitOps platform engineering IDP tooling
L2,SECURITY|Access,IAM RBAC authentication authorization SSO MFA
L2,SECURITY|Encryption,At rest in transit key management mTLS
L2,SECURITY|Testing,SAST DAST SCA vulnerability scanning threat modeling
L2,SECURITY|Compliance,Standards auditing policies SIEM SOAR frameworks
L2,AI/ML|Models,Architectures types neural networks CNN Transformer
L2,AI/ML|Training,Learning algorithms optimization epochs fine-tuning
L2,AI/ML|Evaluation,Metrics validation Precision Recall Confusion Matrix
L2,AI/ML|Operations,MLOps deployment model registry feature store
L2,AI/ML|GenAI,LLMs prompting RAG hallucination grounding agents
L2,PM|Project,Traditional PM planning WBS Gantt RACI risks
L2,PM|Product,Product strategy discovery MVP roadmaps metrics
L2,PM|Agile,Scrum Kanban sprints ceremonies artifacts velocity
L2,PM|Change,Change management ADKAR Kotter transformation
L2,PM|Stakeholder,Engagement governance steering committee sponsors
L2,PROGRAMMING|Structures,Arrays trees graphs linked lists hash tables heaps
L2,PROGRAMMING|Algorithms,Search sort BFS DFS dynamic programming greedy
L2,PROGRAMMING|Complexity,Big O time space amortized analysis
L2,BUSINESS|Finance,CapEx OpEx ROI NPV TCO budgets FinOps
L2,BUSINESS|Contracts,SLA SOW MSA RFP RFQ vendor agreements
L2,BUSINESS|Metrics,KPI SLO SLI performance measurement
PRIORITY,Core,Must know - foundational for competence
PRIORITY,Advanced,Learn when needed - specialist depth
PRIORITY,Core-N,Must know within niche domain (platform-specific)
PRIORITY,Advanced-N,Specialist within niche domain (platform-specific)
