Term,Definition,L1_Category,L2_Subcategory,Resource_Type,Priority
API Gateway,Centralized entry point for API requests; handles routing authentication rate limiting,CLOUD,Services,Technology,Core
CDN (Content Delivery Network),Distributed network for delivering content with low latency,CLOUD,Services,Technology,Core
CI/CD (Continuous Integration/Deployment),Automated build test and deployment pipelines,DEVOPS,Deployment,Practice,Core
Circuit Breaker,Pattern to prevent cascading failures by stopping requests to failing services,SOFTWARE,Patterns,Pattern,Core
Fallback,Alternative behavior or response when primary operation or dependency fails,SOFTWARE,Patterns,Pattern,Core
Graceful Degradation,Delivering reduced functionality when dependencies fail instead of total failure,SOFTWARE,Patterns,Pattern,Core
Half-Open (Circuit Breaker),Test state allowing one request through to check if dependency recovered,SOFTWARE,Patterns,Concept,Advanced
Request Timeout,Maximum wait for remote call; prevents indefinite hang and resource exhaustion,SOFTWARE,Patterns,Pattern,Core
Container Orchestration,Managing containerized applications (Kubernetes Docker Swarm),CLOUD,Infrastructure,Technology,Core
DDoS Protection,Distributed Denial of Service protection at network edge,SECURITY,Compliance,Technology,Core
DNS (Domain Name System),System translating domain names to IP addresses,CLOUD,Networking,Protocol,Core
DR (Disaster Recovery),Strategy and processes for recovering IT systems after catastrophic failure,CLOUD,Resilience,Practice,Core
Event-Driven Architecture,Architecture pattern using events for communication between services,SOFTWARE,Architecture,Pattern,Core
GitOps,Operational model using Git as source of truth for infrastructure,DEVOPS,Automation,Practice,Advanced
HA (High Availability),System design ensuring continuous operation with minimal downtime,CLOUD,Resilience,Concept,Core
Horizontal Scaling,Adding more instances/nodes to handle increased load (scale out),CLOUD,Resilience,Concept,Core
IaC (Infrastructure as Code),Managing infrastructure through code/configuration (Terraform Bicep),CLOUD,Infrastructure,Practice,Core
Immutable Infrastructure,Infrastructure replaced rather than modified; ensures consistency,CLOUD,Infrastructure,Concept,Advanced
Kubernetes,Container orchestration platform for automated deployment and scaling,CLOUD,Infrastructure,Technology,Core
Load Balancer,Distributes traffic across multiple servers,CLOUD,Networking,Technology,Core
Managed Identity,Cloud-native identity for resources (no secrets required),SECURITY,Access,Technology,Core
mTLS (Mutual TLS),Mutual authentication using TLS certificates,SECURITY,Encryption,Protocol,Advanced
Multi-tenant SaaS,Software architecture serving multiple customers from single instance,SOFTWARE,Architecture,Pattern,Core
NAT (Network Address Translation),Translating private IPs to public IPs,CLOUD,Networking,Technology,Core
OIDC (OpenID Connect),Authentication protocol built on OAuth 2.0,SECURITY,Access,Protocol,Core
Private Link,Secure connectivity to cloud services without public internet,CLOUD,Networking,Technology,Advanced-N
Rolling Deployment,Gradual replacement of instances with new versions (zero downtime),DEVOPS,Deployment,Pattern,Core
RPO (Recovery Point Objective),Maximum acceptable data loss measured in time,CLOUD,Resilience,Metric,Core
RTO (Recovery Time Objective),Maximum acceptable downtime after failure,CLOUD,Resilience,Metric,Core
Active-Active,Both sites serving live traffic; near-zero RTO and continuous availability,CLOUD,Resilience,Concept,Core
BCP (Business Continuity Plan),Plan to maintain critical business operations during disruption,CLOUD,Resilience,Process,Core
BCDR (Business Cont and DR),Combined business continuity and disaster recovery strategy,CLOUD,Resilience,Concept,Core
Cold Standby,Secondary site offline until failover; lowest cost longest recovery time,CLOUD,Resilience,Concept,Core
